"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"write","key61505",4,0,19,28,0,53,1,0.01
"write","key61506",6,0,51,187,21,706,1,0.01
"write","key61507",5,0,61,54,16,71,1,0.01
"write","key61508",2,0,55,62,55,70,1,0.00
"write","key61509",1,0,66,66,66,66,1,0.00
"write","key6151",6,0,41,75,17,225,1,0.01
"write","key61510",4,0,33,45,23,74,1,0.01
"write","key61512",7,0,57,369,10,2108,1,0.02
"write","key61513",7,0,67,80,39,231,1,0.02
"write","key61514",1,0,69,69,69,69,1,0.00
"write","key61515",10,0,62,276,14,2283,1,0.02
"write","key61516",18,0,59,232,15,2566,1,0.04
"write","key61517",6,0,58,45,0,64,1,0.01
"write","key61518",4,0,41,110,39,316,1,0.01
"write","key61519",2,0,65,66,65,68,1,0.00
"write","key6152",7,0,74,78,49,119,1,0.02
"write","key61520",1,0,77,77,77,77,1,0.00
"write","key61521",9,0,61,75,13,252,1,0.02
"write","key61522",8,0,59,58,11,83,1,0.02
"write","key61523",3,0,73,68,38,95,1,0.01
"write","key61524",3,0,59,51,25,70,1,0.01
"write","key61525",5,0,43,48,24,87,1,0.01
"write","key61526",0,0,0,0,0,0,0,0.00
"write","key61527",7,0,57,63,44,91,1,0.02
"write","key61528",4,0,74,83,41,115,1,0.01
"write","key61529",8,0,47,52,14,88,1,0.02
"write","key6153",10,0,52,52,37,65,1,0.02
"write","key61531",9,0,54,80,41,284,1,0.02
"write","key61532",8,0,70,76,50,130,1,0.02
"write","key61533",1,0,21,21,21,21,1,0.00
"write","key61534",8,0,70,77,41,119,1,0.02
"write","key61535",10,0,71,257,41,1795,1,0.02
"write","key61536",5,0,68,66,55,75,1,0.01
"write","key61537",6,0,37,48,13,78,1,0.01
"write","key61538",1,0,63,63,63,63,1,0.00
"write","key61539",10,0,57,69,43,113,1,0.02
"write","key61540",5,0,72,73,22,171,1,0.01
"write","key61542",10,0,79,71,25,121,1,0.02
"write","key61543",1,0,78,78,78,78,1,0.00
"write","key61544",5,0,54,77,20,196,1,0.01
"write","key61545",9,0,49,56,15,123,1,0.02
"write","key61546",1,0,61,61,61,61,1,0.00
"write","key61548",5,0,50,44,17,61,1,0.01
"write","key61549",6,0,54,53,16,94,1,0.01
"write","key6155",1,0,69,69,69,69,1,0.00
"write","key61550",3,0,50,46,34,54,1,0.01
"write","key61551",3,0,63,136,50,297,1,0.01
"write","key61552",8,0,54,50,23,74,1,0.02
"write","key61553",2,0,14,39,14,64,1,0.00
"write","key61554",10,0,67,51,0,74,1,0.02
"write","key61555",2,0,52,56,52,60,1,0.00
"write","key61556",4,0,40,39,29,49,1,0.01
"write","key61557",3,0,58,53,36,67,1,0.01
"write","key61558",1,0,66,66,66,66,1,0.00
"write","key61559",2,0,28,29,28,30,1,0.00
"write","key6156",1,0,83,83,83,83,1,0.00
"write","key61560",3,0,43,38,23,50,1,0.01
"write","key61561",5,0,46,54,19,106,1,0.01
"write","key61562",4,0,52,82,17,205,1,0.01
"write","key61563",6,0,74,94,23,264,1,0.01
"write","key61564",7,0,52,67,40,155,1,0.02
"write","key61565",6,0,59,59,17,83,1,0.01
"write","key61566",1,0,60,60,60,60,1,0.00
"write","key61567",5,0,58,58,47,70,1,0.01
"write","key61568",2,0,18,41,18,64,1,0.00
"write","key61569",1,0,27,27,27,27,1,0.00
"write","key6157",12,0,64,195,44,1619,1,0.03
"write","key61570",9,0,73,157,8,929,1,0.02
"write","key61571",15,0,54,205,16,2304,1,0.03
"write","key61572",3,0,58,59,58,61,1,0.01
"write","key61573",5,0,45,49,36,70,1,0.01
"write","key61575",11,0,43,47,14,102,1,0.02
"write","key61576",12,0,52,113,12,699,1,0.03
"write","key61577",9,0,53,53,2,116,1,0.02
"write","key61578",5,0,44,43,37,51,1,0.01
"write","key61579",3,0,55,105,42,220,1,0.01
"write","key6158",1,0,54,54,54,54,1,0.00
"write","key61580",6,0,50,49,35,58,1,0.01
"write","key61581",1,0,72,72,72,72,1,0.00
"write","key61582",7,0,67,101,49,331,1,0.02
"write","key61583",3,0,42,46,0,98,1,0.01
"write","key61584",3,0,49,47,40,53,1,0.01
"write","key61585",9,0,49,48,10,87,1,0.02
"write","key61586",5,0,72,103,45,243,1,0.01
"write","key61587",3,0,56,45,12,68,1,0.01
"write","key61588",10,0,55,80,31,306,1,0.02
"write","key61589",9,0,69,256,18,1770,1,0.02
"write","key6159",3,0,81,133,69,250,1,0.01
"write","key61590",3,0,53,48,14,77,1,0.01
"write","key61591",2,0,39,45,39,51,1,0.00
"write","key61592",6,0,61,431,41,2117,1,0.01
"write","key61593",7,0,31,38,21,73,1,0.02
"write","key61594",8,0,81,101,12,289,1,0.02
"write","key61595",1,0,240,244,244,244,1,0.00
"write","key61596",5,0,51,50,8,83,1,0.01
"write","key61597",10,0,51,298,22,2004,1,0.02
"write","key61598",3,0,49,51,36,69,1,0.01
"write","key616",4,0,42,51,39,71,1,0.01
"write","key6160",10,0,43,67,29,280,1,0.02
"write","key61600",1,0,74,74,74,74,1,0.00
"write","key61601",5,0,77,96,34,241,1,0.01
"write","key61602",4,0,54,61,20,100,1,0.01
"write","key61603",2,0,22,38,22,55,1,0.00
"write","key61604",2,0,53,79,53,106,1,0.00
"write","key61605",11,0,54,218,37,1848,1,0.02
"write","key61606",3,0,40,39,24,55,1,0.01
"write","key61607",15,0,60,82,23,264,1,0.03
"write","key61608",1,0,57,57,57,57,1,0.00
"write","key61609",5,0,61,62,48,81,1,0.01
"write","key6161",4,0,34,46,29,71,1,0.01
"write","key61610",8,0,46,97,0,299,1,0.02
"write","key61611",5,0,75,79,19,130,1,0.01
"write","key61612",8,0,53,50,16,83,1,0.02
"write","key61613",4,0,41,51,24,95,1,0.01
"write","key61615",2,0,35,47,35,60,1,0.00
"write","key61616",7,0,71,352,29,2127,1,0.02
"write","key61617",5,0,75,82,16,189,1,0.01
"write","key61618",3,0,57,91,19,198,1,0.01
"write","key61619",1,0,50,50,50,50,1,0.00
"write","key6162",3,0,58,67,42,103,1,0.01
"write","key61620",5,0,52,90,41,218,1,0.01
"write","key61621",5,0,53,46,20,63,1,0.01
"write","key61622",2,0,54,144,54,234,1,0.00
"write","key61624",2,0,60,65,60,71,1,0.00
"write","key61625",8,0,49,53,16,87,1,0.02
"write","key61626",6,0,70,105,26,300,1,0.01
"write","key61627",4,0,50,60,45,78,1,0.01
"write","key61628",2,0,20,35,20,51,1,0.00
"write","key61629",2,0,16,29,16,42,1,0.00
"write","key6163",2,0,19,31,19,44,1,0.00
"write","key61630",7,0,44,39,10,70,1,0.02
"write","key61631",7,0,55,57,17,97,1,0.02
"write","key61632",7,0,36,39,4,69,1,0.02
"write","key61633",3,0,62,61,58,63,1,0.01
"write","key61634",7,0,67,81,53,162,1,0.02
"write","key61635",4,0,53,44,12,57,1,0.01
"write","key61636",5,0,51,90,36,259,1,0.01
"write","key61637",1,0,41,41,41,41,1,0.00
"write","key61638",6,0,50,55,38,85,1,0.01
"write","key61639",5,0,57,54,15,96,1,0.01
"write","key61640",5,0,56,55,44,63,1,0.01
"write","key61641",2,0,32,137,32,243,1,0.00
"write","key61642",6,0,69,95,36,257,1,0.01
"write","key61643",4,0,70,281,63,912,1,0.01
"write","key61644",7,0,39,315,35,1935,1,0.02
"write","key61647",4,0,53,53,43,64,1,0.01
"write","key61648",1,0,44,44,44,44,1,0.00
"write","key61649",4,0,29,36,17,68,1,0.01
"write","key6165",4,0,58,62,46,76,1,0.01
"write","key61651",2,0,95,165,95,235,1,0.00
"write","key61652",10,0,58,154,32,994,1,0.02
"write","key61653",2,0,41,1165,41,2289,1,0.00
"write","key61654",2,0,65,81,65,97,1,0.00
"write","key61655",10,0,64,276,17,2031,1,0.02
"write","key61656",1,0,28,28,28,28,1,0.00
"write","key61657",4,0,55,53,44,58,1,0.01
"write","key61658",2,0,54,60,54,66,1,0.00
"write","key61659",13,0,52,66,0,324,1,0.03
"write","key6166",9,0,57,67,41,116,1,0.02
"write","key61660",1,0,40,40,40,40,1,0.00
"write","key61661",9,0,52,53,22,101,1,0.02
"write","key61662",12,0,58,80,17,307,1,0.03
"write","key61664",4,0,32,56,26,114,1,0.01
"write","key61665",3,0,39,41,37,47,1,0.01
"write","key61666",2,0,53,57,53,62,1,0.00
"write","key61667",3,0,120,758,51,2101,1,0.01
"write","key61668",19,0,42,67,22,318,1,0.04
"write","key61669",13,0,60,69,12,272,1,0.03
"write","key6167",5,0,64,102,39,284,1,0.01
"write","key61670",0,0,0,0,0,0,0,0.00
"write","key61671",7,0,45,45,14,67,1,0.02
"write","key61672",7,0,51,54,29,86,1,0.02
"write","key61673",4,0,55,92,31,230,1,0.01
"write","key61674",5,0,25,29,0,71,1,0.01
"write","key61675",5,0,140,155,45,300,1,0.01
"write","key61676",3,0,49,57,31,91,1,0.01
"write","key61677",12,0,30,66,25,271,1,0.03
"write","key61678",5,0,95,95,59,132,1,0.01
"write","key61679",3,0,52,104,24,236,1,0.01
"write","key6168",12,0,59,57,31,78,1,0.03
